Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1680991200.0 134.802 NA 30 508 0 NA NA NA NA NA 87 605 0 NA NA NA NA NA 296 6730 613 NA NA NA NA NA 546 4498 707 NA NA NA NA
1680991200.0 134.803 NA 40 511 0 NA NA NA NA NA 88 608 0 NA NA NA NA NA 289 6135 632 NA NA NA NA NA 811 3898 994 NA NA NA NA
1680991200.0 134.804 NA 29 513 0 NA NA NA NA NA 87 627 0 NA NA NA NA NA 293 6679 629 NA NA NA NA NA 533 4120 820 NA NA NA NA
1680991200.0 134.805 NA 31 514 0 NA NA NA NA NA 89 619 0 NA NA NA NA NA 270 6575 644 NA NA NA NA NA 453 4212 1055 NA NA NA NA
1680991200.0 134.806 NA 32 520 0 NA NA NA NA NA 88 617 0 NA NA NA NA NA 310 7148 637 NA NA NA NA NA 885 4578 824 NA NA NA NA
1680991200.0 134.807 NA 90 544 0 NA NA NA NA NA 195 680 0 NA NA NA NA NA 1280 7485 745 NA NA NA NA NA 1488 5226 1272 NA NA NA NA
1680991200.0 134.808 NA 98 544 0 NA NA NA NA NA 195 679 0 NA NA NA NA NA 1474 7612 690 NA NA NA NA NA 2492 5291 1175 NA NA NA NA
1680991200.0 134.809 NA 29 507 0 NA NA NA NA NA 88 612 0 NA NA NA NA NA 280 6323 633 NA NA NA NA NA 689 4040 936 NA NA NA NA
1680991200.0 134.81 NA 28 508 0 NA NA NA NA NA 82 605 0 NA NA NA NA NA 283 6322 633 NA NA NA NA NA 605 3541 817 NA NA NA NA
1680991200.0 134.811 NA 31 511 0 NA NA NA NA NA 91 611 0 NA NA NA NA NA 286 6691 626 NA NA NA NA NA 573 3600 1273 NA NA NA NA
1680991200.0 134.812 NA 31 493 0 NA NA NA NA NA 82 591 0 NA NA NA NA NA 255 4123 649 NA NA NA NA NA 366 3634 840 NA NA NA NA
1680991200.0 134.901 NA 33 498 0 NA NA NA NA NA 84 591 0 NA NA NA NA NA 268 4206 631 NA NA NA NA NA 384 4893 816 NA NA NA NA
1680991200.0 134.902 NA 30 503 0 NA NA NA NA NA 90 597 0 NA NA NA NA NA 281 5293 630 NA NA NA NA NA 384 4008 829 NA NA NA NA
1680991200.0 134.903 NA 34 499 0 NA NA NA NA NA 92 596 0 NA NA NA NA NA 307 4872 635 NA NA NA NA NA 725 4708 831 NA NA NA NA
1680991200.0 134.904 NA 31 503 0 NA NA NA NA NA 88 603 0 NA NA NA NA NA 297 5673 635 NA NA NA NA NA 532 3902 845 NA NA NA NA
1680991200.0 134.906 NA 35 498 0 NA NA NA NA NA 84 595 0 NA NA NA NA NA 267 5497 631 NA NA NA NA NA 579 3702 830 NA NA NA NA
1680991200.0 134.907 NA 87 531 0 NA NA NA NA NA 191 663 0 NA NA NA NA NA 1150 5664 668 NA NA NA NA NA 1764 4515 1701 NA NA NA NA
1680991200.0 134.908 NA 93 529 0 NA NA NA NA NA 194 661 0 NA NA NA NA NA 1207 5737 672 NA NA NA NA NA 1011 3576 1090 NA NA NA NA
1680991200.0 134.909 NA 32 498 0 NA NA NA NA NA 87 590 0 NA NA NA NA NA 287 5017 637 NA NA NA NA NA 653 4088 829 NA NA NA NA
1680991200.0 134.91 NA 39 499 0 NA NA NA NA NA 86 592 0 NA NA NA NA NA 259 4666 640 NA NA NA NA NA 488 4520 830 NA NA NA NA
1680991200.0 134.911 NA 32 498 0 NA NA NA NA NA 85 605 0 NA NA NA NA NA 273 4897 643 NA NA NA NA NA 932 4571 875 NA NA NA NA
1680991200.0 134.912 NA 37 491 0 NA NA NA NA NA 86 588 0 NA NA NA NA NA 299 4010 635 NA NA NA NA NA 1505 5488 847 NA NA NA NA
1680991200.0 134.99601 NA 38 509 0 NA NA NA NA NA 83 611 0 NA NA NA NA NA 318 7202 635 NA NA NA NA NA 1007 4209 808 NA NA NA NA
1680991200.0 134.99602 NA 30 499 0 NA NA NA NA NA 88 608 0 NA NA NA NA NA 289 4640 613 NA NA NA NA NA 587 4079 852 NA NA NA NA
