Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1680991200.0 131.0 63 134 274 NA NA NA NA 141 582 425 NA NA NA NA 1257 412 1660 NA NA NA NA 1325 1323 3729 NA NA NA NA
1680991200.0 1310.0 NA 170 341 0 NA NA NA NA 561 492 0 NA NA NA NA 468 1848 633 NA NA NA NA 641 3258 1385 NA NA NA
1680991200.0 1311.0 NA 130 300 0 61 NA NA NA 602 443 0 119 NA NA NA 444 1056 655 212 NA NA NA 1246 4108 1421 1095 NA NA
1680991200.0 1314.0 NA 136 340 0 NA NA NA NA 605 497 0 NA NA NA NA 474 1845 608 NA NA NA NA 1068 3007 714 NA NA NA
1680991200.0 1315.0 NA 136 331 0 NA NA NA NA 606 504 0 NA NA NA NA 424 1725 597 NA NA NA NA 1417 3026 818 NA NA NA
1680991200.0 1317.0 NA 147 328 0 NA NA NA NA 605 488 0 NA NA NA NA 429 1740 591 NA NA NA NA 2006 2982 824 NA NA NA
1680991200.0 1318.0 NA 172 327 0 NA NA NA NA 605 493 0 NA NA NA NA 423 1729 582 NA NA NA NA 889 3660 653 NA NA NA
1680991200.0 132.0 86 152 275 NA NA NA NA 208 586 442 NA NA NA NA 2110 447 1763 NA NA NA NA 1833 847 3155 NA NA NA NA
1680991200.0 1322.0 NA 134 331 0 NA NA NA NA 603 477 0 NA NA NA NA 435 1759 608 NA NA NA NA 815 2931 1401 NA NA NA
1680991200.0 1323.0 NA 165 323 0 NA NA NA NA 604 466 0 NA NA NA NA 425 1685 592 NA NA NA NA 1273 3205 962 NA NA NA
1680991200.0 1324.0 NA 135 342 0 NA NA NA NA 604 494 0 NA NA NA NA 491 1888 622 NA NA NA NA 1437 2762 853 NA NA NA
1680991200.0 1325.2 NA 144 343 0 NA NA NA NA 560 509 0 NA NA NA NA 520 1968 623 NA NA NA NA 1547 3643 1030 NA NA NA
1680991200.0 1325.4 NA 142 345 0 NA NA NA NA 559 493 0 NA NA NA NA 514 1963 611 NA NA NA NA 1343 3398 772 NA NA NA
1680991200.0 1325.5 NA 163 0 NA NA NA NA NA 278 0 NA NA NA NA NA 4569 140 NA NA NA NA NA 5547 715 NA NA NA NA
1680991200.0 1325.51 NA 157 0 NA NA NA NA NA 244 0 NA NA NA NA NA 1732 147 NA NA NA NA NA 2418 401 NA NA NA NA
1680991200.0 1325.6 NA 153 NA NA NA NA NA NA 272 NA NA NA NA NA NA 2796 NA NA NA NA NA NA 5129 NA NA NA NA NA
1680991200.0 1325.7 NA 160 0 NA NA NA NA NA 262 0 NA NA NA NA NA 2506 131 NA NA NA NA NA 3044 302 NA NA NA NA
1680991200.0 1328.0 NA 146 340 0 NA NA NA NA 607 511 0 NA NA NA NA 484 1820 623 NA NA NA NA 839 2659 1187 NA NA NA
1680991200.0 1329.0 NA 140 337 0 NA NA NA NA 606 502 0 NA NA NA NA 452 1777 610 NA NA NA NA 1137 3815 957 NA NA NA
1680991200.0 1329.1 NA 166 0 NA NA NA NA NA 268 0 NA NA NA NA NA 2035 129 NA NA NA NA NA 4051 448 NA NA NA NA
1680991200.0 133.0 91 131 284 NA NA NA NA 214 584 441 NA NA NA NA 3828 491 1902 NA NA NA NA 2163 859 2514 NA NA NA NA
1680991200.0 1330.0 NA 132 376 0 NA NA NA NA 561 529 0 NA NA NA NA 468 1862 615 NA NA NA NA 1162 4267 1471 NA NA NA
1680991200.0 1332.0 NA 153 338 0 NA NA NA NA 516 497 0 NA NA NA NA 495 1872 624 NA NA NA NA 1187 4051 1552 NA NA NA
1680991200.0 1333.0 NA 140 335 0 NA NA NA NA 558 477 0 NA NA NA NA 470 1798 607 NA NA NA NA 1262 3705 826 NA NA NA
1680991200.0 1334.0 NA 135 343 0 NA NA NA NA 606 477 0 NA NA NA NA 489 1857 626 NA NA NA NA 1571 2613 1485 NA NA NA
1680991200.0 1335.0 NA 140 333 0 NA NA NA NA 605 496 0 NA NA NA NA 469 1811 613 NA NA NA NA 1725 2495 806 NA NA NA
