Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1689195600.0 530.0 113 185 0 NA NA 2097270 2097340 0 NA NA 978 292 212 NA NA 1456 611 1404 NA NA
1689195600.0 531.0 195 0 NA NA NA 2097450 0 NA NA NA 271 203 NA NA NA 820 834 NA NA NA
1689195600.0 538.0 248 0 NA NA NA 2097400 0 NA NA NA 7732 210 NA NA NA 42356 1098 NA NA NA
1689195600.0 541.0 191 0 NA NA NA 2097350 0 NA NA NA 311 212 NA NA NA 834 1104 NA NA NA
1689195600.0 545.0 189 0 NA NA NA 2097340 0 NA NA NA 325 208 NA NA NA 696 1150 NA NA NA
1689195600.0 546.0 183 188 NA NA NA 2097350 2097360 NA NA NA 346 365 NA NA NA 756 1321 NA NA NA
1689195600.0 556.0 116 190 0 NA NA 2097270 2097350 0 NA NA 1010 407 213 NA NA 597 752 1334 NA NA
1689195600.0 560.0 194 0 NA NA NA 2097350 0 NA NA NA 343 209 NA NA NA 710 1174 NA NA NA
1689195600.0 561.0 192 0 NA NA NA 2097350 0 NA NA NA 345 203 NA NA NA 663 786 NA NA NA
1689195600.0 570.0 166 0 NA NA NA 2097330 0 NA NA NA 521 209 NA NA NA 753 993 NA NA NA
1689195600.0 571.0 155 0 NA NA NA 2097330 0 NA NA NA 550 209 NA NA NA 952 1119 NA NA NA
1689195600.0 572.0 162 0 NA NA NA 2097330 0 NA NA NA 411 202 NA NA NA 711 835 NA NA NA
1689195600.0 574.0 176 0 NA NA NA 2097330 0 NA NA NA 907 202 NA NA NA 1042 900 NA NA NA
1689195600.0 575.0 155 0 NA NA NA 2097330 0 NA NA NA 551 211 NA NA NA 868 1266 NA NA NA
1689195600.0 576.0 164 0 NA NA NA 2097330 0 NA NA NA 371 217 NA NA NA 782 1574 NA NA NA
1689195600.0 577.0 157 0 NA NA NA 2097330 0 NA NA NA 334 210 NA NA NA 668 1209 NA NA NA
